# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	1407
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
ai 	唉	c=1 d=1 t=55
mi ma 	密碼	c=0 d=0.1 t=1278
mian 	免	c=1 d=1.0956 t=630
mian an zhuang 	免安裝	c=1 d=1 t=622
mian ban 	面板	c=1 d=1 t=1401
mian bao 	麪包	c=0 d=0.1 t=1154
mian bao chao ren 	麪包超人	c=1 d=1 t=1155
ming ling 	命令	c=8 d=3.57916 t=1276
ming ling hang 	命令行	c=8 d=2.27345 t=1389
mo ren 	默認	c=3 d=1.25313 t=993
mo shi 	模式	c=0 d=0.1 t=913
mu lu 	目錄	c=3 d=1.59811 t=1261
mu qin 	母親	c=0 d=0.1 t=569
mu zhi 	拇指	c=0 d=0.1 t=47
na 	那	c=3 d=2.58274 t=249
na ge 	那個	c=1 d=1 t=798
na me 	那麼	c=2 d=1.85642 t=390
na wo 	那我	c=1 d=1 t=893
nei 	內	c=3 d=1.05287 t=869
nei cun 	內存	c=4 d=1.97511 t=1219
neng 	能	c=1 d=1 t=204
ni 	你	c=1 d=1.05761 t=701
ni kan 	你看	c=1 d=1 t=320
ni men de 	你們的	c=1 d=1 t=479
ni xu yao 	你需要	c=1 d=1 t=549
nian hou 	年後	c=1 d=1 t=337
nian qing 	年輕	c=0 d=0.1 t=569
nian qing mu qin 	年輕母親	c=1 d=1 t=570
nian tie 	粘貼	c=1 d=1 t=866
nie yuan 	聶遠	c=1 d=1 t=710
niu yue 	紐約	c=1 d=1 t=933
nuo 	諾	c=1 d=1 t=506
ou 	歐	c=1 d=1 t=59
pa 	爬	c=1 d=1 t=280
pa shan 	爬山	c=1 d=1 t=256
pai ming 	排名	c=1 d=1 t=778
pai xu 	排序	c=0 d=0.1 t=303
pan 	盤	c=10 d=4.45892 t=1336
pan duan 	判斷	c=1 d=1 t=447
pei 	培	c=1 d=1 t=768
pei zhi 	配置	c=4 d=1.0874 t=1296
pi 	毘	c=1 d=1 t=190
pin yin 	拼音	c=1 d=1 t=95
ping mu 	屏幕	c=2 d=1.70822 t=1234
po 	婆	c=1 d=1 t=191
po 	破	c=1 d=1 t=386
qi 	器	c=1 d=1 t=575
qi 	起	c=1 d=1 t=281
qi dong 	啓動	c=5 d=2.55613 t=1133
qi guai 	奇怪	c=0 d=0.1 t=926
qi ta 	其他	c=4 d=1.83839 t=1265
qian 	前	c=1 d=1 t=1063
qian ming 	簽名	c=2 d=1.96561 t=1368
